r_bend,p99_springback_mm,max_springback_mm,feasible,campaign_runtime_s
3.96,1.4454587701887434,1.4723823292885574,True,0.07533043896546587
3.99035175879397,1.455187909444787,1.4823122319809534,True,0.055041245999746025
4.02070351758794,1.4649170288449336,1.4922421136037145,True,0.047773808997590095
4.051055276381909,1.4746461282564276,1.502171974015687,True,0.040527909994125366
4.0814070351758795,1.4843751742193616,1.5121018130757058,True,0.042680491984356195
4.111758793969849,1.4941040887985584,1.5220316306426285,True,0.0407898590201512
4.142110552763819,1.5038329829914014,1.531961426575279,True,0.03991387598216534
4.172462311557789,1.5135618566651412,1.5418912007325036,True,0.039377790002617985
4.202814070351759,1.5232907096869954,1.5518209529731597,True,0.03923832898726687
4.233165829145729,1.5330195419242258,1.5617506831560601,True,0.04047904099570587
4.263517587939698,1.5427483321961395,1.5716803911400623,True,0.03954183298628777
4.293869346733668,1.5524770931506795,1.5816100767840013,True,0.03956046199891716
4.324221105527638,1.5622058329224318,1.5915397399467235,True,0.03984398196917027
4.354572864321608,1.571944449416383,1.601469380487075,True,0.03979638998862356
4.384924623115578,1.5816851518978952,1.611398998263891,True,0.04088455601595342
4.415276381909548,1.5914258327447603,1.6213285931360066,True,0.040260112029500306
4.445628140703517,1.6011609123241621,1.6312581649622793,True,0.03996621002443135
4.475979899497488,1.6108864625607817,1.6411877136015218,True,0.042682881001383066
4.506331658291457,1.6206194136967558,1.6511172389126139,True,0.04186798701994121
4.5366834170854275,1.6303564808570532,1.6610467407543683,True,0.04003668203949928
4.567035175879397,1.6400935257330254,1.6709762189856314,True,0.041342714976053685
4.5973869346733665,1.6498264218085053,1.6809056734652605,True,0.043223233020398766
4.627738693467337,1.6595671316404148,1.6908351040520797,True,0.04034298600163311
4.658090452261306,1.6693048200480292,1.7007645106049463,True,0.041099424997810274
4.688442211055277,1.6790463359620926,1.7106938929826732,True,0.04084969300311059
4.718793969849246,1.6887892449043063,1.7206232510441177,True,0.040643154992721975
4.749145728643216,1.6985299388291983,1.7305525846481373,True,0.040809501020703465
4.779497487437186,1.7082706095197329,1.7404818936535449,True,0.04123526404146105
4.809849246231156,1.7180112568426704,1.7504111779192089,True,0.04112208099104464
4.840201005025126,1.7277517168637195,1.7603404373039533,True,0.04068754496984184
4.870552763819095,1.7374778154920787,1.7702696716666244,True,0.04102536098798737
4.900904522613065,1.7472029665400557,1.7801988808660574,True,0.039902988995891064
4.931256281407035,1.7569376999986446,1.7901280647610984,True,0.039453050994779915
4.961608040201005,1.7666745536601631,1.8000572232105827,True,0.039442709006834775
4.991959798994975,1.7764122715325181,1.8099863560733676,True,0.04132147604832426
